Time,Open,High,Low,Last,Change,Volume,"Open Int"
"10/08/2020 12:04",11539.75,11541,11535,11537.5,-2.25,527,N/A
"10/08/2020 12:03",11542.5,11544.5,11538.25,11539.75,-3,543,N/A
"10/08/2020 12:02",11545.5,11546,11541.25,11542.75,-2.5,406,N/A
"10/08/2020 12:01",11550.25,11551,11545.25,11545.25,-5.25,438,N/A
"10/08/2020 12:00",11549.5,11552.75,11549.5,11550.5,1,539,N/A
"10/08/2020 11:59",11547,11551.25,11546.5,11549.5,2.25,1428,N/A
"10/08/2020 11:58",11543.25,11549.5,11543.25,11547.25,4.5,519,N/A
"10/08/2020 11:57",11541.75,11545.75,11540.25,11542.75,1.25,655,N/A
"10/08/2020 11:56",11554.25,11554.5,11540.5,11541.5,-13,1076,N/A
"10/08/2020 11:55",11555.25,11557.75,11553.75,11554.5,-0.75,318,N/A
"10/08/2020 11:54",11555.75,11556.75,11553.5,11555.25,-0.75,233,N/A
"10/08/2020 11:53",11556.25,11557.75,11554.75,11556,-0.5,263,N/A
"10/08/2020 11:52",11556.25,11557.75,11554.25,11556.5,0.25,237,N/A
"10/08/2020 11:51",11556.5,11557,11553,11556.25,-0.5,1672,N/A
"10/08/2020 11:50",11558.75,11560.25,11556.25,11556.75,-1.75,296,N/A
"10/08/2020 11:49",11559.25,11560.5,11557.5,11558.5,-0.75,384,N/A
"10/08/2020 11:48",11561.75,11563.25,11558.75,11559.25,-2.5,560,N/A
"10/08/2020 11:47",11559.25,11561.75,11557.25,11561.75,2.75,448,N/A
"10/08/2020 11:46",11553.75,11560.5,11553.75,11559,5.5,1020,N/A
"10/08/2020 11:45",11552.75,11558.75,11550,11553.5,1,826,N/A
"10/08/2020 11:44",11556.5,11557.5,11549.25,11552.5,-4.25,889,N/A
"10/08/2020 11:43",11552.5,11557.5,11552.5,11556.75,4,270,N/A
"10/08/2020 11:42",11553.5,11557,11551.25,11552.75,-1,414,N/A
"10/08/2020 11:41",11549.75,11554.25,11549.5,11553.75,4.25,254,N/A
"10/08/2020 11:40",11553.5,11555,11549.5,11549.5,-4,523,N/A
"10/08/2020 11:39",11551.5,11553.5,11550.75,11553.5,2,171,N/A
"10/08/2020 11:38",11552,11552.5,11550.5,11551.5,-0.5,185,N/A
"10/08/2020 11:37",11553,11553.5,11550.5,11552,-1.5,228,N/A
"10/08/2020 11:36",11551,11555.5,11548.25,11553.5,2.75,590,N/A
"10/08/2020 11:35",11553.5,11555.5,11550.25,11550.75,-3,301,N/A
"10/08/2020 11:34",11552.75,11554.25,11551.5,11553.75,0.75,289,N/A
"10/08/2020 11:33",11557,11557,11552.75,11553,-3.75,470,N/A
"10/08/2020 11:32",11553.25,11556.75,11550.75,11556.75,3.5,502,N/A
"10/08/2020 11:31",11550.5,11553.5,11550.5,11553.25,2.75,548,N/A
"10/08/2020 11:30",11546.5,11550.75,11545.5,11550.5,4,429,N/A
"10/08/2020 11:29",11548.75,11549.25,11544.75,11546.5,-2,453,N/A
"10/08/2020 11:28",11553,11553.25,11546.5,11548.5,-4,495,N/A
"10/08/2020 11:27",11554.25,11556,11551.75,11552.5,-1.5,576,N/A
"10/08/2020 11:26",11552.5,11554.25,11551,11554,1.25,568,N/A
"10/08/2020 11:25",11554,11555.5,11551.5,11552.75,-1.25,466,N/A
"10/08/2020 11:24",11549.25,11555,11548.75,11554,4.75,700,N/A
"10/08/2020 11:23",11548.25,11549.5,11546,11549.25,0.5,378,N/A
"10/08/2020 11:22",11544.25,11549,11544,11548.75,5,495,N/A
"10/08/2020 11:21",11544.25,11545.25,11541.25,11543.75,0,343,N/A
"10/08/2020 11:20",11548,11548.25,11539.5,11543.75,-4,453,N/A
"10/08/2020 11:19",11546.25,11547.75,11543,11547.75,2,325,N/A
"10/08/2020 11:18",11543.75,11549.75,11543.75,11545.75,2.25,503,N/A
"10/08/2020 11:17",11544.75,11544.75,11540,11543.5,-1.25,623,N/A
"10/08/2020 11:16",11546.75,11548.75,11543,11544.75,-2,560,N/A
"10/08/2020 11:15",11553.25,11553.75,11546.25,11546.75,-6.5,581,N/A
"10/08/2020 11:14",11551.25,11554.5,11551,11553.25,2.5,507,N/A
"10/08/2020 11:13",11549.5,11552.75,11548.75,11550.75,1.25,334,N/A
"10/08/2020 11:12",11551,11554,11549.25,11549.5,-1.25,570,N/A
"10/08/2020 11:11",11548,11551.25,11547.75,11550.75,2.5,479,N/A
"10/08/2020 11:10",11553.5,11554.5,11547.5,11548.25,-5.5,643,N/A
"10/08/2020 11:09",11555.5,11555.75,11552,11553.75,-1.75,557,N/A
"10/08/2020 11:08",11556.75,11557.5,11554.75,11555.5,-0.75,596,N/A
"10/08/2020 11:07",11546,11558,11546,11556.25,10,2258,N/A
"10/08/2020 11:06",11540.75,11546.5,11539.25,11546.25,5.25,649,N/A
"10/08/2020 11:05",11538.75,11543.75,11538.5,11541,2.5,723,N/A
"10/08/2020 11:04",11537.75,11541.5,11536.5,11538.5,0.5,650,N/A
"10/08/2020 11:03",11533.75,11538.5,11533.75,11538,4.25,496,N/A
"10/08/2020 11:02",11532,11537,11532,11533.75,1.25,741,N/A
"10/08/2020 11:01",11529.25,11532.5,11526.75,11532.5,3.25,475,N/A
